experiment,n_runs,average_delay_mean_mean,average_delay_mean_std,average_delay_mean_ci95,average_delay_mean_min,average_delay_mean_max,average_delay_std_mean,average_delay_std_std,average_delay_std_ci95,average_delay_std_min,average_delay_std_max,average_delay_min_mean,average_delay_min_std,average_delay_min_ci95,average_delay_min_min,average_delay_min_max,average_delay_max_mean,average_delay_max_std,average_delay_max_ci95,average_delay_max_min,average_delay_max_max,average_delay_final_mean,average_delay_final_std,average_delay_final_ci95,average_delay_final_min,average_delay_final_max,throughput_mean_mean,throughput_mean_std,throughput_mean_ci95,throughput_mean_min,throughput_mean_max,throughput_std_mean,throughput_std_std,throughput_std_ci95,throughput_std_min,throughput_std_max,throughput_min_mean,throughput_min_std,throughput_min_ci95,throughput_min_min,throughput_min_max,throughput_max_mean,throughput_max_std,throughput_max_ci95,throughput_max_min,throughput_max_max,throughput_final_mean,throughput_final_std,throughput_final_ci95,throughput_final_min,throughput_final_max,average_queue_length_mean_mean,average_queue_length_mean_std,average_queue_length_mean_ci95,average_queue_length_mean_min,average_queue_length_mean_max,average_queue_length_std_mean,average_queue_length_std_std,average_queue_length_std_ci95,average_queue_length_std_min,average_queue_length_std_max,average_queue_length_min_mean,average_queue_length_min_std,average_queue_length_min_ci95,average_queue_length_min_min,average_queue_length_min_max,average_queue_length_max_mean,average_queue_length_max_std,average_queue_length_max_ci95,average_queue_length_max_min,average_queue_length_max_max,average_queue_length_final_mean,average_queue_length_final_std,average_queue_length_final_ci95,average_queue_length_final_min,average_queue_length_final_max,average_speed_mean_mean,average_speed_mean_std,average_speed_mean_ci95,average_speed_mean_min,average_speed_mean_max,average_speed_std_mean,average_speed_std_std,average_speed_std_ci95,average_speed_std_min,average_speed_std_max,average_speed_min_mean,average_speed_min_std,average_speed_min_ci95,average_speed_min_min,average_speed_min_max,average_speed_max_mean,average_speed_max_std,average_speed_max_ci95,average_speed_max_min,average_speed_max_max,average_speed_final_mean,average_speed_final_std,average_speed_final_ci95,average_speed_final_min,average_speed_final_max,total_vehicles_mean_mean,total_vehicles_mean_std,total_vehicles_mean_ci95,total_vehicles_mean_min,total_vehicles_mean_max,total_vehicles_std_mean,total_vehicles_std_std,total_vehicles_std_ci95,total_vehicles_std_min,total_vehicles_std_max,total_vehicles_min_mean,total_vehicles_min_std,total_vehicles_min_ci95,total_vehicles_min_min,total_vehicles_min_max,total_vehicles_max_mean,total_vehicles_max_std,total_vehicles_max_ci95,total_vehicles_max_min,total_vehicles_max_max,total_vehicles_final_mean,total_vehicles_final_std,total_vehicles_final_ci95,total_vehicles_final_min,total_vehicles_final_max
add_aco,20,25.42740948872294,4.688092525917076,2.1940948407587424,20.553441097047706,37.33698212424063,6.518437269489857,0.6629358658583283,0.310263535754161,5.145565205967388,7.4305714500609525,0.0,0.0,0.0,0.0,0.0,48.49393413577046,5.446353859893471,2.5489720688908815,38.63076923076923,59.09000000000002,25.67156616873269,4.734821287050982,2.215964574163565,19.741409144552463,37.55278040904415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972575853055093,0.039659327553358596,0.018561136643898288,0.8179870650271869,0.977830705688438,0.7033768542735006,0.019274677298032224,0.009020826654574052,0.6626604547131987,0.7412453062916932,0.0,0.0,0.0,0.0,0.0,3.9521031746031747,0.4305389160939342,0.20149841525637818,3.4285714285714284,5.0,0.8842156911291053,0.05484058121040648,0.02566618206291179,0.7801997281630987,0.9939969389754729,14.671916666666666,2.6164730164254744,1.224547065696105,12.239814814814816,22.61722222222222,4.117206015943181,0.42919614296480213,0.20086997808739085,3.4742560512632585,5.210846919386901,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.6,4.638511557998343,2.170890233488531,25.0,43.0,14.773981481481481,2.906347162374696,1.3602123420490113,11.612962962962962,22.742592592592594
add_aco_rush,20,25.42740948872294,4.688092525917076,2.1940948407587424,20.553441097047706,37.33698212424063,6.518437269489857,0.6629358658583283,0.310263535754161,5.145565205967388,7.4305714500609525,0.0,0.0,0.0,0.0,0.0,48.49393413577046,5.446353859893471,2.5489720688908815,38.63076923076923,59.09000000000002,25.67156616873269,4.734821287050982,2.215964574163565,19.741409144552463,37.55278040904415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972575853055093,0.039659327553358596,0.018561136643898288,0.8179870650271869,0.977830705688438,0.7033768542735006,0.019274677298032224,0.009020826654574052,0.6626604547131987,0.7412453062916932,0.0,0.0,0.0,0.0,0.0,3.9521031746031747,0.4305389160939342,0.20149841525637818,3.4285714285714284,5.0,0.8842156911291053,0.05484058121040648,0.02566618206291179,0.7801997281630987,0.9939969389754729,14.671916666666666,2.6164730164254744,1.224547065696105,12.239814814814816,22.61722222222222,4.117206015943181,0.42919614296480213,0.20086997808739085,3.4742560512632585,5.210846919386901,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.6,4.638511557998343,2.170890233488531,25.0,43.0,14.773981481481481,2.906347162374696,1.3602123420490113,11.612962962962962,22.742592592592594
add_pso,20,35.89304066923981,0.6500827357586956,0.3042480856999434,34.9906915131878,37.429822841564246,8.617971633150233,0.41994112404851225,0.1965384959028783,7.891853776656909,9.822641801229159,0.0,0.0,0.0,0.0,0.0,66.65475741905155,2.7675103903865916,1.2952347326177407,62.292307692307695,72.18571428571428,36.05755806088849,2.1257132570908834,0.9948644282363439,30.816987080281063,38.99946118676626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0364080332223564,0.011641357185356796,0.005448322873027028,1.0120802157730615,1.054574452992067,0.80066644650962,0.008249651554473016,0.0038609557754378564,0.7794472773234902,0.8165063941380142,0.0,0.0,0.0,0.0,0.0,3.9970701065360514,0.4085994743790474,0.19123044046500104,3.588235294117647,5.0,1.041964852412697,0.05048602371044356,0.023628186419345235,0.9319756122114122,1.1122519615162652,17.266222222222222,0.45088007219899723,0.21101836935678422,16.55537037037037,18.223518518518517,4.212076665174895,0.24279142043701,0.11362988251967637,3.7043110613118704,4.730553638096507,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,31.55,2.0641042405337657,0.9660305209222494,29.0,37.0,17.189166666666665,1.3092604689661371,0.6127527612322523,14.368518518518519,19.353703703703705
add_som,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_som_rush,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
add_sotl,20,25.88404886753969,0.3851918552550772,0.18027533749499255,25.267144499779793,26.661003403632183,6.272457489144346,0.2640663078411571,0.1235868363197789,5.840855240502421,6.711762899802374,0.0,0.0,0.0,0.0,0.0,52.1012024087024,4.422379618075432,2.069737371917124,47.37777777777777,61.92,25.82818913362321,1.0979589561571914,0.5138606091393425,23.536365140623957,28.094586464174462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23603279320987655,0.006525451495700027,0.003054005308382025,0.22795910493827162,0.251087962962963,0.06719047160708069,0.003642519315288235,0.0017047515152177155,0.06084962340358015,0.07387752787321097,0.0,0.0,0.0,0.0,0.0,0.4843750000000001,0.03302696377594088,0.01545709484744916,0.4375,0.5625,0.23146219135802468,0.01745310575259665,0.008168304928985607,0.19830246913580243,0.27341820987654325,1.1724908245041399,0.022038519194778144,0.010314344479318099,1.132973853158599,1.2111798755611023,0.5499896029924282,0.018199987971242868,0.00851785656721091,0.5212799678472458,0.5772944880265085,0.0,0.0,0.0,0.0,0.0,3.8628625541125543,0.486827476978136,0.22784227266682938,3.142857142857143,5.0,1.1910129574354464,0.05690922663651435,0.026634337924104943,1.0852795226090381,1.2996553101388413,15.308777777777777,0.4348470520807775,0.20351468496303696,14.756481481481481,16.352037037037036,3.960372424659392,0.23447239864313935,0.10973646047282364,3.5438967367761696,4.422119853489756,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.55,1.669383750149485,0.7812956449132707,27.0,35.0,15.065000000000001,1.1287882176157502,0.5282891476412345,13.066666666666666,17.937037037037037
baseline_ca_only,20,35.99711002953491,0.6391356895546352,0.29912471036869864,34.18329642425339,36.92780884735535,8.816042463838006,0.3366670665127399,0.15756503729509558,8.002798117921099,9.362220646129755,0.0,0.0,0.0,0.0,0.0,67.91755506748154,4.056436392733104,1.898470670525144,61.325,78.78181818181818,36.59778795158838,1.2477691306963452,0.5839739290519491,33.647295023045,38.78473730817984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0397065743261442,0.013813268249305654,0.006464808540417909,1.0136912437823709,1.0739532570150112,0.8000473023412615,0.008874357531262414,0.004153327172351922,0.7822674316342201,0.8242074534923046,0.0,0.0,0.0,0.0,0.0,4.011462687639158,0.42009610905346745,0.1966110311179764,3.5625,5.0,1.024265952988179,0.03256944573823213,0.015242969814604492,0.9587182474406342,1.0943735868824467,17.09722222222222,0.3672425921750803,0.17187482378893282,16.592222222222222,17.849444444444444,4.126000520914589,0.24264477908316504,0.11356125225350003,3.554848232113541,4.404742284780811,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,30.75,1.6503588126605426,0.7723917000872071,28.0,34.0,17.47425925925926,1.2668218188666562,0.592890861596681,15.116666666666667,19.346296296296295
full_minus_aco,20,27.8151882035604,1.0553545954145462,0.49392115453547325,26.086600248059217,29.545207123764072,6.593148791980663,0.32645640065880943,0.15278629857631615,6.109138155137106,7.201724963611991,0.0,0.0,0.0,0.0,0.0,52.78356171606172,3.5657642240666045,1.6688290267599173,44.70769230769231,60.49230769230769,28.00056627538214,1.9586148500190206,0.9166599664368917,24.805281280231572,31.13382366082613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24893692129629635,0.008214607584262689,0.003844554692521272,0.23688271604938269,0.26856095679012343,0.06816693092257017,0.0026007959010406426,0.0012172099498448964,0.0626131034174895,0.07165979890411396,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.035766461469956344,0.016739219234602545,0.4583333333333333,0.5833333333333334,0.2527739197530864,0.02241670100101086,0.010491339012880916,0.21323302469135805,0.29189814814814813,1.1028897575237055,0.0451040800455954,0.021109359249655874,1.0258693819156053,1.1785133048164755,0.530042666688701,0.01687524046333345,0.007897855648640414,0.4967800049724043,0.566237039979152,0.0,0.0,0.0,0.0,0.0,3.824379509379509,0.5209820023798987,0.24382708259928945,3.1818181818181817,5.0,1.0777558056682488,0.06127472696991017,0.02867745497136515,0.9605234229632014,1.2363787284123973,16.263546296296294,0.6182701765770974,0.28935934969786914,15.360925925925926,17.658148148148147,3.971789971539677,0.18808378613628296,0.08802592152578359,3.6173260431335135,4.288917574106081,0.2,0.6958523739384592,0.32566893574469996,0.0,3.0,29.85,1.7851728502481652,0.8354866118658512,27.0,33.0,16.417222222222225,1.5225762478241398,0.7125876188544833,14.127777777777778,19.14814814814815
